   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
 203 | 0.833 | 0.680 | 0.002 |  2.534 |   8 |   5 |  __ |     __ |      __ |       __ | 
 204 | 0.238 | 0.618 | 0.017 |  2.552 |   8 |   5 |  __ |     __ |      __ |       __ | 
 205 | 0.838 | 0.818 | 0.002 |  2.554 |   8 |   5 |  __ |     __ |      __ |       __ | 
 206 | 0.933 | 0.514 | 0.001 |  2.555 |   8 |   5 |  __ |     __ |      __ |       __ | 
 207 | 0.950 | 0.743 | 0.001 |  2.556 |   8 |   5 |  __ |     __ |      __ |       __ | 
 208 | 0.850 | 0.553 | 0.002 |  2.558 |   8 |   5 |  __ |     __ |      __ |       __ | 
 209 | 0.481 | 0.942 | 0.009 |  2.566 |   8 |   5 |  __ |     __ |      __ |       __ | 
 210 | 0.841 | 0.290 | 0.002 |  2.569 |   8 |   5 |  __ |     __ |      __ |       __ | 
 211 | 0.514 | 0.232 | 0.008 |  2.577 |   8 |   4 |   8 |  2.663 | 0.24370 |  2.90653 | 
 212 | 0.605 | 0.171 | 0.006 |  2.583 |   8 |   5 |  __ |     __ |      __ |       __ | 
 213 | 0.642 | 0.529 | 0.005 |  2.588 |   8 |   4 |   7 |  2.678 | 0.10621 |  2.78372 | 
 214 | 0.884 | 0.978 | 0.001 |  2.590 |   8 |   5 |  __ |     __ |      __ |       __ | 
 215 | 0.249 | 0.891 | 0.017 |  2.607 |   8 |   5 |  __ |     __ |      __ |       __ | 
 216 | 0.728 | 0.377 | 0.004 |  2.611 |   8 |   5 |  __ |     __ |      __ |       __ | 
 217 | 0.191 | 0.190 | 0.020 |  2.631 |   8 |   4 |   5 |  2.772 | 0.27686 |  3.04900 | 
 218 | 0.297 | 0.211 | 0.015 |  2.646 |   8 |   4 |   7 |  2.784 | 0.25934 |  3.04305 | 
 219 | 0.817 | 0.465 | 0.002 |  2.648 |   8 |   5 |  __ |     __ |      __ |       __ | 
 220 | 0.016 | 0.937 | 0.050 |  2.698 |   8 |   2 |   4 |  2.786 | 0.01090 |  2.79703 | 
 221 | 0.710 | 0.737 | 0.004 |  2.703 |   8 |   3 |   4 |  2.797 | 0.05088 |  2.84791 | 
 222 | 0.098 | 0.774 | 0.028 |  2.731 |   8 |   4 |   4 |  2.848 | 0.04279 |  2.89070 | 
 223 | 0.102 | 0.002 | 0.028 |  2.759 |   8 |   5 |  __ |     __ |      __ |       __ | 
 224 | 0.508 | 0.014 | 0.008 |  2.767 |   8 |   5 |  __ |     __ |      __ |       __ | 
 225 | 0.498 | 0.820 | 0.009 |  2.776 |   8 |   4 |   4 |  2.891 | 0.03317 |  2.92388 | 
 226 | 0.792 | 0.953 | 0.003 |  2.778 |   8 |   5 |  __ |     __ |      __ |       __ | 
 227 | 0.922 | 0.648 | 0.001 |  2.779 |   8 |   5 |  __ |     __ |      __ |       __ | 
 228 | 0.604 | 0.787 | 0.006 |  2.786 |   8 |   4 |   8 |  2.907 | 0.03999 |  2.94652 | 
 229 | 0.730 | 0.491 | 0.004 |  2.789 |   8 |   4 |   2 |  2.916 | 0.11855 |  3.03426 | 
 230 | 0.226 | 0.406 | 0.018 |  2.808 |   8 |   4 |   4 |  2.924 | 0.15019 |  3.07407 | 
 231 | 0.100 | 0.367 | 0.028 |  2.836 |   8 |   5 |  __ |     __ |      __ |       __ | 
 232 | 0.037 | 0.267 | 0.040 |  2.876 |   8 |   4 |   8 |  2.947 | 0.21993 |  3.16645 | 
