   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
 952 | 0.081 | 0.857 | 0.031 | 11.933 |   7 |   5 |  __ |     __ |      __ |       __ | 
 953 | 0.427 | 0.233 | 0.010 | 11.944 |   7 |   5 |  __ |     __ |      __ |       __ | 
 954 | 0.368 | 0.889 | 0.012 | 11.956 |   7 |   5 |  __ |     __ |      __ |       __ | 
 955 | 0.037 | 0.995 | 0.040 | 11.996 |   7 |   3 |   4 | 12.067 | 0.00089 | 12.06762 | 
 956 | 0.364 | 0.016 | 0.012 | 12.009 |   7 |   3 |   4 | 12.068 | 0.68582 | 12.75344 | 
 957 | 0.417 | 0.223 | 0.011 | 12.019 |   7 |   4 |   7 | 12.117 | 0.24987 | 12.36716 | 
 958 | 0.117 | 0.357 | 0.026 | 12.045 |   7 |   4 |   5 | 12.121 | 0.17157 | 12.29251 | 
 959 | 0.485 | 0.477 | 0.009 | 12.054 |   7 |   4 |   1 | 12.129 | 0.12330 | 12.25260 | 
 960 | 0.747 | 0.081 | 0.004 | 12.058 |   7 |   5 |  __ |     __ |      __ |       __ | 
 961 | 0.177 | 0.162 | 0.021 | 12.079 |   7 |   3 |   6 | 12.146 | 0.30327 | 12.44881 | 
 962 | 0.352 | 0.933 | 0.013 | 12.092 |   7 |   4 |   2 | 12.166 | 0.01152 | 12.17728 | 
 963 | 0.908 | 0.907 | 0.001 | 12.093 |   7 |   5 |  __ |     __ |      __ |       __ | 
 964 | 0.909 | 0.207 | 0.001 | 12.094 |   7 |   5 |  __ |     __ |      __ |       __ | 
 965 | 0.496 | 0.280 | 0.009 | 12.102 |   7 |   5 |  __ |     __ |      __ |       __ | 
 966 | 0.712 | 0.063 | 0.004 | 12.107 |   7 |   5 |  __ |     __ |      __ |       __ | 
 967 | 0.716 | 0.316 | 0.004 | 12.111 |   7 |   5 |  __ |     __ |      __ |       __ | 
 968 | 0.597 | 0.824 | 0.006 | 12.117 |   7 |   5 |  __ |     __ |      __ |       __ | 
 969 | 0.320 | 0.139 | 0.014 | 12.131 |   7 |   2 |   2 | 12.177 | 0.32923 | 12.50651 | 
 970 | 0.253 | 0.735 | 0.017 | 12.148 |   7 |   2 |   1 | 12.253 | 0.05135 | 12.30395 | 
 971 | 0.781 | 0.239 | 0.003 | 12.151 |   7 |   3 |   5 | 12.293 | 0.23885 | 12.53137 | 
 972 | 0.222 | 0.913 | 0.018 | 12.169 |   7 |   3 |   1 | 12.304 | 0.01511 | 12.31906 | 
 973 | 0.622 | 0.860 | 0.006 | 12.175 |   7 |   4 |   1 | 12.319 | 0.02520 | 12.34426 | 
 974 | 0.671 | 0.234 | 0.005 | 12.180 |   7 |   4 |   1 | 12.344 | 0.24217 | 12.58643 | 
 975 | 0.395 | 0.839 | 0.011 | 12.191 |   7 |   5 |  __ |     __ |      __ |       __ | 
 976 | 0.939 | 0.282 | 0.001 | 12.192 |   7 |   5 |  __ |     __ |      __ |       __ | 
 977 | 0.832 | 0.086 | 0.002 | 12.194 |   7 |   5 |  __ |     __ |      __ |       __ | 
 978 | 0.018 | 0.026 | 0.049 | 12.243 |   7 |   5 |  __ |     __ |      __ |       __ | 
 979 | 0.008 | 0.143 | 0.058 | 12.302 |   7 |   3 |   7 | 12.367 | 0.32382 | 12.69098 | 
 980 | 0.185 | 0.357 | 0.021 | 12.322 |   7 |   2 |   6 | 12.449 | 0.17188 | 12.62069 | 
 981 | 0.749 | 0.706 | 0.004 | 12.326 |   7 |   3 |   3 | 12.456 | 0.05791 | 12.51386 | 
 982 | 0.159 | 0.817 | 0.022 | 12.348 |   7 |   3 |   2 | 12.507 | 0.03370 | 12.54021 | 
 983 | 0.173 | 0.605 | 0.021 | 12.370 |   7 |   3 |   3 | 12.514 | 0.08371 | 12.59757 | 
 984 | 0.430 | 0.393 | 0.010 | 12.380 |   7 |   4 |   5 | 12.531 | 0.15551 | 12.68688 | 
 985 | 0.784 | 0.688 | 0.003 | 12.383 |   7 |   5 |  __ |     __ |      __ |       __ | 
 986 | 0.015 | 0.116 | 0.051 | 12.434 |   7 |   5 |  __ |     __ |      __ |       __ | 
 987 | 0.817 | 0.013 | 0.002 | 12.436 |   7 |   5 |  __ |     __ |      __ |       __ | 
 988 | 0.815 | 0.421 | 0.002 | 12.439 |   7 |   5 |  __ |     __ |      __ |       __ | 
 989 | 0.252 | 0.239 | 0.017 | 12.456 |   7 |   4 |   2 | 12.540 | 0.23843 | 12.77863 | 
 990 | 0.372 | 0.307 | 0.012 | 12.468 |   7 |   4 |   1 | 12.586 | 0.19686 | 12.78328 | 
 991 | 0.424 | 0.540 | 0.010 | 12.478 |   7 |   5 |  __ |     __ |      __ |       __ | 
 992 | 0.996 | 0.467 | 0.000 | 12.478 |   7 |   5 |  __ |     __ |      __ |       __ | 
 993 | 0.105 | 0.860 | 0.027 | 12.506 |   7 |   5 |  __ |     __ |      __ |       __ | 
 994 | 0.894 | 0.975 | 0.001 | 12.507 |   7 |   4 |   3 | 12.598 | 0.00419 | 12.60177 | 
 995 | 0.275 | 0.469 | 0.016 | 12.523 |   7 |   4 |   3 | 12.602 | 0.12624 | 12.72801 | 
 996 | 0.424 | 0.501 | 0.010 | 12.533 |   7 |   4 |   6 | 12.621 | 0.11518 | 12.73587 | 
 997 | 0.810 | 0.198 | 0.003 | 12.536 |   7 |   5 |  __ |     __ |      __ |       __ | 
 998 | 0.281 | 0.334 | 0.015 | 12.551 |   7 |   4 |   5 | 12.687 | 0.18300 | 12.86988 | 
 999 | 0.474 | 0.548 | 0.009 | 12.560 |   7 |   5 |  __ |     __ |      __ |       __ | 
1000 | 0.313 | 0.638 | 0.014 | 12.575 |   7 |   5 |  __ |     __ |      __ |       __ | 
