 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
966 | 0.278 | 0.024 | 0.016 | 11.818 |   7 |   4 |   1 | 11.882 | 0.62192 | 12.50386 | 
967 | 0.479 | 0.963 | 0.009 | 11.827 |   7 |   5 |  __ |  __ |  __ |  __ | 
968 | 0.838 | 0.980 | 0.002 | 11.829 |   7 |   5 |  __ |  __ |  __ |  __ | 
969 | 0.843 | 0.114 | 0.002 | 11.831 |   7 |   5 |  __ |  __ |  __ |  __ | 
970 | 0.127 | 0.405 | 0.025 | 11.857 |   7 |   3 |   6 | 12.001 | 0.15069 | 12.15147 | 
971 | 0.709 | 0.472 | 0.004 | 11.861 |   7 |   4 |   2 | 12.010 | 0.12505 | 12.13533 | 
972 | 0.557 | 0.980 | 0.007 | 11.868 |   7 |   3 |   4 | 12.049 | 0.00344 | 12.05210 | 
973 | 0.010 | 0.038 | 0.056 | 11.924 |   7 |   3 |   4 | 12.052 | 0.54639 | 12.59849 | 
974 | 0.459 | 0.440 | 0.009 | 11.934 |   7 |   4 |   2 | 12.135 | 0.13700 | 12.27233 | 
975 | 0.017 | 0.032 | 0.050 | 11.983 |   7 |   5 |  __ |  __ |  __ |  __ | 
976 | 0.556 | 0.997 | 0.007 | 11.990 |   7 |   5 |  __ |  __ |  __ |  __ | 
977 | 0.522 | 0.362 | 0.008 | 11.998 |   7 |   5 |  __ |  __ |  __ |  __ | 
978 | 0.520 | 0.750 | 0.008 | 12.006 |   7 |   4 |   6 | 12.151 | 0.04800 | 12.19947 | 
979 | 0.460 | 0.054 | 0.009 | 12.016 |   7 |   4 |   5 | 12.163 | 0.48726 | 12.64991 | 
980 | 0.265 | 0.154 | 0.016 | 12.032 |   7 |   5 |  __ |  __ |  __ |  __ | 
981 | 0.598 | 0.456 | 0.006 | 12.038 |   7 |   5 |  __ |  __ |  __ |  __ | 
982 | 0.730 | 0.791 | 0.004 | 12.042 |   7 |   5 |  __ |  __ |  __ |  __ | 
983 | 0.348 | 0.142 | 0.013 | 12.055 |   7 |   3 |   6 | 12.199 | 0.32546 | 12.52493 | 
984 | 0.697 | 0.652 | 0.004 | 12.059 |   7 |   4 |   2 | 12.272 | 0.07125 | 12.34358 | 
985 | 0.285 | 0.629 | 0.015 | 12.075 |   7 |   5 |  __ |  __ |  __ |  __ | 
986 | 0.344 | 0.824 | 0.013 | 12.088 |   7 |   5 |  __ |  __ |  __ |  __ | 
987 | 0.295 | 0.796 | 0.015 | 12.102 |   7 |   5 |  __ |  __ |  __ |  __ | 
988 | 0.022 | 0.727 | 0.046 | 12.149 |   7 |   4 |   2 | 12.344 | 0.05317 | 12.39675 | 
989 | 0.763 | 0.691 | 0.003 | 12.152 |   7 |   4 |   2 | 12.397 | 0.06149 | 12.45824 | 
990 | 0.611 | 0.046 | 0.006 | 12.158 |   7 |   5 |  __ |  __ |  __ |  __ | 
991 | 0.962 | 0.547 | 0.000 | 12.159 |   7 |   5 |  __ |  __ |  __ |  __ | 
992 | 0.429 | 0.958 | 0.010 | 12.169 |   7 |   4 |   2 | 12.458 | 0.00717 | 12.46541 | 
993 | 0.358 | 0.612 | 0.013 | 12.182 |   7 |   5 |  __ |  __ |  __ |  __ | 
994 | 0.080 | 0.526 | 0.031 | 12.212 |   7 |   4 |   3 | 12.465 | 0.10708 | 12.57181 | 
995 | 0.568 | 0.453 | 0.007 | 12.219 |   7 |   5 |  __ |  __ |  __ |  __ | 
996 | 0.973 | 0.738 | 0.000 | 12.219 |   7 |   5 |  __ |  __ |  __ |  __ | 
997 | 0.739 | 0.605 | 0.004 | 12.223 |   7 |   5 |  __ |  __ |  __ |  __ | 
998 | 0.874 | 0.814 | 0.002 | 12.225 |   7 |   5 |  __ |  __ |  __ |  __ | 
999 | 0.806 | 0.424 | 0.003 | 12.227 |   7 |   5 |  __ |  __ |  __ |  __ | 
